budget,popularity,revenue,runtime,vote_average
35000000,79.774,469310836,100,7.309
0,69.248,2122288,103,6.436
17000000,64.454,97542952,91,6.506
165000000,75.753,752600867,93,6.3
0,68.957,0,105,6.475
150000000,71.938,1274219009,102,7.246
0,60.262,0,91,6.988
0,61.341,119815153,93,7.056
0,74.365,0,105,4.424
200000000,67.587,559852396,106,6.061
0,57.472,0,129,7.582
20000000,75.492,104186860,111,6.278
0,68.039,0,106,6.596
110000000,73.082,473990832,114,6.208
94000000,67.736,1118888979,201,8.476
50000,60.539,102617,89,7.254
0,57.754,3777969,110,6.004
350000,66.172,29612367,85,7.316
180000000,74.602,855301806,131,7.598
0,65.388,50461371,85,6.8
0,67.48,0,97,5.812
250000000,79.435,873637528,152,5.944
200000000,55.849,743559607,104,7.028
160000000,62.882,813367380,93,6.283
25000000,73.662,66023329,169,8.165
4000000,54.777,0,96,6.034
18000000,62.045,90146510,108,6.42
85000000,70.721,346147658,107,6.136
0,59.467,0,31,5.833
125000000,70.168,485004754,101,5.896
0,63.424,0,63,8.012
0,51.482,0,0,7.932
1344000,61.332,0,103,6.047
200000000,66.068,531865000,116,6.803
0,65.078,23800,93,6.2
0,53.225,0,94,6.887
0,56.589,0,106,6.0
90000000,61.517,886686817,94,6.725
0,60.364,0,112,5.957
180000000,72.867,676343174,115,7.426
1488423,71.702,184925486,83,7.115
0,57.757,0,90,7.0
0,70.584,144891038,124,8.1
85000000,55.472,158964610,104,6.445
0,74.641,0,89,6.397
0,53.576,38410729,105,7.617
1,52.099,0,82,6.876
3000000,60.08,0,91,5.603
86000000,58.772,0,107,0.0
0,68.148,0,95,7.403
0,64.091,0,64,7.286
0,64.498,0,110,6.0
0,71.832,0,0,0.0
0,63.761,33673,92,6.817
0,61.144,0,95,7.367
250000000,63.994,1081041287,165,7.776
0,71.741,0,122,7.751
200000000,66.657,169601036,151,6.492
0,46.736,0,69,4.4
150000000,69.487,1023784195,109,7.746
0,54.725,0,0,0.0
170000000,67.828,644783140,112,6.543
258000000,73.468,890871626,139,6.386
0,50.597,0,44,5.444
3000000,62.204,0,96,7.6
0,54.697,24200000,48,6.699
0,50.13,0,83,6.8
294700000,73.255,0,154,0.0
903852,60.826,19840000,114,7.747
61000000,96.663,369330363,149,7.892
170000000,64.09,386600138,132,6.671
116000000,65.811,0,106,7.062
125000000,61.629,801693929,123,6.939
250000000,64.343,774153007,163,7.424
0,60.103,0,106,5.2
0,60.038,0,103,7.297
15000000,63.527,92108518,128,7.158
40000000,58.43,118133252,77,7.517
63000000,69.272,100853753,139,8.434
75000000,61.603,542063846,86,6.886
0,60.611,0,100,7.493
0,60.671,0,96,5.583
0,59.183,0,22,6.93
70000000,61.084,348840316,86,6.474
10000000,60.326,225933435,127,8.146
0,65.927,0,118,7.813
0,43.22,0,64,6.5
0,65.286,75167,99,4.946
1203235,55.566,1090116,95,6.99
102000000,68.396,520000000,137,8.097
0,96.946,0,107,6.929
0,46.945,0,107,7.5
15600000,64.992,24733572,147,7.202
45000000,62.26,141220678,83,5.785
175000000,63.817,607274134,140,7.611
0,62.903,0,99,7.014
0,52.328,0,89,5.048
175000000,60.461,1073394593,100,7.53
0,51.423,0,79,7.828
11363000,68.34,257591776,133,8.515
15000000,60.876,356830601,110,7.036
0,44.902,0,73,6.8
0,67.723,0,178,4.333
0,68.409,0,95,6.216
80000000,63.111,415885488,124,6.898
0,60.263,0,95,7.912
19000000,62.254,381109762,116,8.313
130000000,57.705,865011746,146,7.421
0,40.991,0,95,6.15
